Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost
1962-63,7,Málaga,2–0,1–1,0–7,1–0,1–0,4–6,,2–1,2–0,1–3,1–1,0–4,1–0,0–2,1–1,1–1,,,,,,,16,30,8,4,18
1962-63,8,Mallorca,1–0,4–0,2–0,2–0,3–1,0–1,5–0,,0–0,3–0,1–2,5–2,1–0,0–2,0–0,2–1,,,,,,,13,30,11,4,15
1962-63,9,Osasuna,1–0,1–4,3–1,3–0,1–0,3–0,3–0,4–1,,2–3,3–2,1–1,0–0,0–1,4–1,1–2,,,,,,,15,30,9,6,15
1962-63,10,Oviedo,1–1,3–0,3–1,2–0,1–0,6–1,2–0,2–0,1–1,,4–3,0–1,5–1,2–0,4–0,1–0,,,,,,,3,30,15,3,12
1962-63,11,Real Betis,3–2,1–0,1–1,1–0,4–0,2–3,0–1,2–1,2–1,2–1,,2–5,2–1,2–0,2–2,2–0,,,,,,,9,30,12,4,14
1962-63,12,Real Madrid,3–2,4–3,2–0,1–0,2–1,6–1,5–0,5–2,5–0,2–1,3–0,,2–1,1–0,4–1,4–2,,,,,,,1,30,23,3,4
1962-63,13,Sevilla,1–1,2–4,1–0,3–1,3–2,2–2,2–1,2–1,2–1,2–3,2–0,0–5,,3–1,3–2,3–1,,,,,,,11,30,11,5,14
1962-63,14,Valencia,2–0,3–0,0–3,0–1,0–1,2–2,2–0,7–2,4–1,5–0,5–0,2–1,1–0,,5–3,2–1,,,,,,,7,30,14,3,13
1962-63,15,Valladolid,2–1,2–1,1–0,6–0,3–1,0–2,2–0,2–0,2–1,2–0,1–0,4–2,3–1,1–0,,2–1,,,,,,,4,30,15,3,12
1962-63,16,Zaragoza,2–2,1–1,2–1,1–3,2–1,1–0,4–0,6–1,3–0,5–0,2–1,1–0,2–4,1–0,6–2,,,,,,,,5,30,14,4,12
1961-62,1,Atlético Bilbao,,5–1,3–2,1–1,1–2,3–0,0–0,0–1,1–0,0–2,0–1,3–3,5–1,5–0,0–0,1–0,,,,,,,5,30,12,8,10
1961-62,2,Atlético Madrid,2–0,,1–1,5–2,5–2,1–1,4–2,5–1,1–0,1–0,1–0,1–0,4–0,1–0,0–0,3–0,,,,,,,3,30,15,6,9
1961-62,3,Barcelona,4–2,5–1,,3–2,2–0,3–2,3–1,4–1,6–1,3–1,8–0,5–0,3–2,5–2,4–0,1–1,,,,,,,2,30,18,4,8
1961-62,4,Elche,2–2,1–2,1–2,,6–2,2–0,6–2,1–1,1–1,0–0,2–1,4–2,1–0,3–0,2–1,5–3,,,,,,,8,30,10,9,11
1961-62,5,Español,0–3,3–0,1–1,0–0,,0–2,3–0,1–1,2–2,1–1,3–2,2–2,0–1,2–0,2–2,1–3,,,,,,,13,30,8,10,12
1961-62,6,Mallorca,1–3,0–3,3–1,3–1,1–5,,2–0,2–0,1–0,0–2,0–0,1–0,3–2,1–1,3–0,1–0,,,,,,,12,30,10,7,13
1961-62,7,Osasuna,0–4,3–1,3–1,3–0,2–2,4–1,,2–2,4–0,1–3,2–1,0–1,1–3,3–1,5–2,5–1,,,,,,,11,30,11,5,14
1961-62,8,Oviedo,0–1,0–0,0–2,1–1,1–0,1–0,2–0,,1–1,1–0,2–1,1–0,1–1,1–0,1–0,0–2,,,,,,,10,30,10,7,13
1961-62,9,Real Betis,1–1,2–1,2–3,5–1,3–3,0–1,1–1,2–0,,2–1,1–0,2–1,3–1,2–0,3–1,2–2,,,,,,,9,30,10,8,12
1961-62,10,Real Madrid,3–0,2–1,2–0,3–1,3–1,2–0,2–2,4–1,2–0,,6–0,1–0,2–1,0–0,4–1,2–1,,,,,,,1,30,19,5,6
1961-62,11,Real Santander,2–0,1–0,1–1,3–1,1–3,4–0,1–3,3–0,1–0,0–2,,1–0,1–1,0–0,4–1,2–1,,,,,,,14,30,11,4,15
1961-62,12,Real Sociedad,0–2,1–0,2–1,2–1,0–1,0–0,1–1,2–0,6–0,0–1,3–0,,4–1,0–1,1–1,1–0,,,,,,,15,30,9,5,16
1961-62,13,Sevilla,2–1,1–1,1–0,2–0,3–1,0–0,0–0,3–1,1–2,1–1,3–1,3–0,,2–1,2–0,4–0,,,,,,,6,30,12,7,11
1961-62,14,Tenerife,1–1,0–2,1–3,1–3,0–0,3–0,3–1,1–4,1–1,0–3,0–0,4–1,3–3,,2–1,4–2,,,,,,,16,30,6,7,17
1961-62,15,Valencia,2–2,2–1,6–2,0–0,4–2,3–1,2–0,3–0,2–0,3–2,2–1,5–1,2–1,2–1,,1–1,,,,,,,7,30,12,7,11
1961-62,16,Zaragoza,4–2,1–1,3–2,1–1,3–0,3–0,6–3,5–1,4–0,2–1,6–1,6–3,3–2,3–1,3–0,,,,,,,,4,30,15,5,10
1960-61,1,Atlético Bilbao,,2–0,0–2,4–2,2–3,3–0,1–2,3–1,0–0,0–2,3–1,2–2,0–2,4–1,4–1,1–0,,,,,,,7,30,12,6,12
1960-61,2,Atlético Madrid,3–1,,2–0,5–0,1–1,4–0,2–1,2–0,2–2,1–0,3–2,3–2,2–0,2–2,4–2,4–0,,,,,,,2,30,17,6,7
1960-61,3,Barcelona,2–2,2–0,,3–3,4–1,8–2,4–2,3–5,2–1,3–5,2–0,6–2,2–2,1–1,2–0,0–1,,,,,,,4,30,13,6,11
1960-61,4,Elche,4–1,2–2,2–1,,2–0,1–2,2–0,3–1,1–1,3–4,2–0,1–0,2–2,4–1,3–0,2–7,,,,,,,14,30,9,7,14
1960-61,5,Español,0–1,1–2,1–2,5–2,,3–1,1–0,4–1,2–1,1–2,2–0,1–1,3–0,3–0,1–2,5–0,,,,,,,10,30,12,3,15
1960-61,6,Granada,2–0,0–3,1–1,1–1,1–2,,4–0,1–1,1–2,2–3,5–1,2–0,0–2,2–2,0–1,2–3,,,,,,,16,30,5,7,18
1960-61,7,Mallorca,0–0,0–1,3–1,3–0,3–0,1–0,,1–0,1–0,1–1,2–1,0–0,2–2,4–0,3–1,4–0,,,,,,,9,30,12,4,14
1960-61,8,Oviedo,2–0,0–0,1–0,4–0,2–3,0–0,1–0,,2–1,0–0,2–1,3–1,2–2,2–2,2–0,3–0,,,,,,,13,30,10,6,14
1960-61,9,Real Betis,1–3,0–0,1–3,7–1,3–1,2–1,2–0,2–0,,0–5,0–0,5–1,0–0,0–0,3–1,1–1,,,,,,,6,30,11,8,11
1960-61,10,Real Madrid,3–1,3–1,3–2,8–0,2–0,5–0,3–0,7–0,4–0,,4–0,3–1,1–1,2–0,2–1,5–1,,,,,,,1,30,24,4,2
1960-61,11,Real Santander,0–1,1–1,1–0,5–1,1–0,0–0,5–1,3–0,0–1,1–1,,2–0,2–0,3–0,3–1,2–1,,,,,,,12,30,11,4,15
1960-61,12,Real Sociedad,0–0,1–0,3–2,3–2,2–1,1–0,3–1,2–0,0–1,0–4,3–1,,3–1,1–1,0–0,2–2,,,,,,,8,30,10,10,10
1960-61,13,Sevilla,3–1,4–2,0–1,2–0,2–0,0–0,0–2,3–2,1–1,0–2,1–2,1–2,,1–3,4–0,1–1,,,,,,,11,30,9,9,12
1960-61,14,Valencia,1–0,1–2,0–2,0–0,3–0,3–1,2–1,3–1,4–1,0–1,3–1,0–0,6–0,,1–0,3–0,,,,,,,5,30,11,10,9
1960-61,15,Valladolid,1–2,0–2,1–0,2–1,2–0,4–0,2–0,3–0,5–1,3–1,2–0,0–0,0–4,2–2,,1–2,,,,,,,15,30,11,3,16
1960-61,16,Zaragoza,0–0,4–1,1–1,1–1,1–1,4–1,2–0,4–1,2–1,2–3,5–3,1–1,2–1,1–1,5–1,,,,,,,,3,30,12,9,9
1959-60,1,Atlético Bilbao,,5–2,4–1,5–0,2–0,3–0,4–1,4–1,6–0,4–1,1–3,4–0,2–5,2–0,4–3,3–1,,,,,,,3,30,19,1,10
1959-60,2,Atlético Madrid,0–1,,0–1,5–1,3–1,0–2,3–0,1–2,4–0,6–1,3–3,3–0,3–2,0–0,2–3,1–1,,,,,,,5,30,15,3,12
1959-60,3,Barcelona,4–1,2–1,,2–0,1–0,5–4,8–0,6–0,3–1,6–0,3–1,3–0,5–0,2–1,5–1,5–0,,,,,,,1,30,22,2,6
1959-60,4,Elche,0–1,3–4,2–1,,1–0,1–0,0–0,2–1,1–0,1–3,1–5,3–2,3–2,2–1,2–1,5–0,,,,,,,10,30,11,5,14
1959-60,5,Español,1–0,2–0,0–1,3–0,,3–0,0–0,2–1,1–1,1–1,1–1,4–2,3–1,0–2,2–0,2–1,,,,,,,8,30,11,8,11
1959-60,6,Granada,3–2,1–0,0–0,0–0,1–0,,5–1,2–1,0–0,1–2,3–4,0–0,0–1,1–0,3–0,2–1,,,,,,,12,30,10,5,15
1959-60,7,Las Palmas,0–2,0–3,0–8,1–1,0–2,1–2,,2–4,0–1,1–2,0–1,2–0,2–1,1–0,4–0,2–0,,,,,,,15,30,8,2,20
1959-60,8,Osasuna,1–4,1–3,2–3,1–3,1–0,2–0,4–1,,4–3,0–1,1–2,1–1,1–2,2–1,4–1,2–3,,,,,,,16,30,5,3,22
1959-60,9,Oviedo,2–0,1–0,2–0,1–1,1–0,2–2,1–0,2–1,,1–0,1–1,2–1,2–3,0–0,2–1,5–0,,,,,,,6,30,13,7,10
1959-60,10,Real Betis,1–0,1–4,0–3,2–2,2–1,3–2,2–1,3–0,3–0,,1–0,3–0,1–4,2–0,0–0,1–2,,,,,,,7,30,15,3,12
1959-60,11,Real Madrid,3–1,3–2,2–0,11–2,4–0,6–0,2–0,7–0,8–1,7–1,,4–0,1–0,2–1,1–0,2–1,,,,,,,2,30,21,4,5
1959-60,12,Real Sociedad,1–3,0–3,0–0,4–2,0–2,1–0,6–0,4–1,6–2,1–0,1–3,,2–0,2–0,4–2,1–0,,,,,,,14,30,10,3,17
1959-60,13,Sevilla,5–0,3–0,0–3,4–1,0–0,2–0,3–2,3–1,0–1,2–1,4–1,3–0,,1–1,5–0,1–0,,,,,,,4,30,16,4,10
1959-60,14,Valencia,3–2,0–1,2–0,1–0,0–0,2–0,1–0,3–0,1–1,1–2,2–1,3–0,3–3,,1–0,4–0,,,,,,,9,30,11,6,13
1959-60,15,Valladolid,2–2,0–1,1–4,1–0,1–1,3–2,5–0,5–1,3–0,0–1,3–1,4–1,3–1,3–2,,2–1,,,,,,,13,30,11,3,16
1959-60,16,Zaragoza,1–2,0–1,3–1,2–1,1–1,6–2,6–2,1–1,1–2,2–1,2–2,4–1,2–2,3–1,4–0,,,,,,,,11,30,10,5,15
1958-59,1,Atlético Bilbao,,1–2,1–2,9–0,4–1,3–0,3–0,3–1,0–1,7–0,9–0,4–1,1–0,2–1,2–1,3–2,,,,,,,3,30,17,2,11
1958-59,2,Atlético Madrid,0–1,,1–1,3–1,3–2,4–0,3–1,2–0,2–0,3–1,1–1,2–1,2–0,5–0,1–2,7–1,,,,,,,5,30,13,6,11
1958-59,3,Barcelona,3–0,5–0,,2–0,5–3,3–0,5–1,6–1,7–1,4–1,4–1,4–0,4–2,4–0,6–0,3–0,,,,,,,1,30,24,3,3
1958-59,4,Celta,0–3,0–1,0–1,,1–2,3–0,0–0,3–0,1–1,1–1,1–0,2–4,0–0,0–1,1–2,2–0,,,,,,,6,30,14,4,12
1958-59,5,Español,2–1,2–2,0–3,2–1,,1–0,1–1,2–2,2–0,2–0,2–0,2–0,2–0,1–2,2–0,1–1,,,,,,,16,30,4,5,21
1958-59,6,Granada,1–0,1–0,1–4,2–0,1–1,,4–1,1–0,1–1,0–0,6–0,0–3,1–0,1–0,1–0,4–1,,,,,,,7,30,11,7,12
1958-59,7,Las Palmas,1–0,2–2,0–2,3–1,1–2,1–0,,5–1,2–1,2–0,4–0,1–2,0–0,3–0,2–4,3–1,,,,,,,13,30,11,4,15
1958-59,8,Osasuna,1–8,3–1,2–2,4–0,2–1,2–1,2–0,,1–0,3–0,4–1,1–2,2–1,2–2,0–3,3–0,,,,,,,14,30,10,4,16
1958-59,9,Oviedo,1–2,2–1,2–4,1–0,1–0,1–0,2–1,1–3,,0–3,2–0,0–2,1–1,1–0,1–1,4–1,,,,,,,8,30,12,4,14
1958-59,10,Real Betis,4–0,3–2,2–5,2–1,3–1,2–1,2–0,1–0,2–0,,5–3,2–3,0–1,2–0,1–1,7–0,,,,,,,11,30,11,5,14
1958-59,11,Real Gijón,0–2,3–2,2–1,2–2,1–0,0–1,2–0,2–1,0–3,1–1,,0–0,1–0,0–4,2–1,0–2,,,,,,,15,30,7,6,17
1958-59,12,Real Madrid,0–0,5–0,1–0,3–0,3–3,2–0,10–1,8–0,4–0,4–2,5–1,,6–1,8–0,3–0,3–0,,,,,,,2,30,21,5,4
1958-59,13,Real Sociedad,1–1,0–0,1–1,3–0,2–1,3–1,6–2,0–2,1–1,3–1,0–0,0–0,,4–0,0–0,1–0,,,,,,,10,30,9,10,11
1958-59,14,Sevilla,3–2,3–3,0–2,2–0,3–0,3–0,3–4,1–0,4–0,2–4,3–0,1–3,0–1,,1–0,3–1,,,,,,,12,30,12,2,16
1958-59,15,Valencia,2–0,4–2,1–2,3–0,1–1,3–0,5–1,0–0,1–2,2–0,2–0,1–1,2–0,1–0,,3–3,,,,,,,4,30,13,7,10
1958-59,16,Zaragoza,2–0,2–1,2–1,2–0,1–0,1–1,5–0,2–1,2–0,1–2,2–2,1–2,1–0,4–2,6–1,,,,,,,,9,30,12,4,14
1957-58,1,Atlético Bilbao,,1–2,4–1,6–0,3–2,1–0,5–1,1–1,2–0,2–1,0–2,2–2,5–2,3–2,1–0,4–1,,,,,,,6,30,14,4,12
1957-58,2,Atlético Madrid,3–2,,3–1,2–1,2–3,5–1,4–1,9–0,4–1,3–2,1–1,2–0,1–1,2–2,7–0,4–2,,,,,,,2,30,16,10,4
1957-58,3,Barcelona,3–0,2–2,,1–0,3–1,4–1,6–1,2–0,3–0,3–0,0–2,1–0,3–1,1–1,7–1,5–1,,,,,,,3,30,17,4,9
1957-58,4,Celta,0–1,2–2,4–0,,3–2,0–2,2–1,2–2,2–0,1–2,2–1,1–0,3–1,3–2,3–1,2–1,,,,,,,7,30,13,6,11
1957-58,5,Español,1–0,4–1,2–1,1–1,,2–1,2–0,3–0,2–0,5–1,2–4,2–2,2–3,0–0,1–1,1–0,,,,,,,8,30,11,6,13
1957-58,6,Granada,1–3,2–2,0–4,1–0,1–0,,2–0,4–0,1–2,1–0,0–2,3–1,2–1,1–0,4–0,1–0,,,,,,,13,30,11,2,17
1957-58,7,Jaén,3–2,0–1,1–0,4–1,4–2,2–0,,1–1,0–2,2–1,0–2,0–1,1–0,1–0,0–2,3–0,,,,,,,16,30,9,2,19
1957-58,8,Las Palmas,2–2,3–0,0–7,1–6,1–0,1–0,2–1,,2–1,0–0,0–0,2–1,4–1,5–3,3–1,0–0,,,,,,,11,30,9,7,14
1957-58,9,Osasuna,2–2,1–1,2–1,5–1,3–2,1–0,5–1,2–0,,2–1,1–0,3–0,3–2,2–2,5–0,1–1,,,,,,,5,30,15,5,10
1957-58,10,Real Gijón,0–2,2–4,3–2,1–2,2–0,5–1,1–0,1–0,2–3,,3–0,3–0,1–1,1–3,0–2,4–1,,,,,,,12,30,10,4,16
1957-58,11,Real Madrid,6–0,0–0,3–0,5–0,2–0,4–0,3–0,2–1,3–0,4–0,,2–1,6–0,2–1,5–3,2–1,,,,,,,1,30,20,5,5
1957-58,12,Real Sociedad,1–0,2–4,1–2,1–1,2–1,4–1,2–0,3–1,2–1,3–2,2–2,,2–0,0–0,0–0,1–1,,,,,,,9,30,10,7,13
1957-58,13,Sevilla,3–1,2–2,1–2,2–0,0–1,2–0,0–0,4–1,1–1,1–2,3–2,3–0,,0–1,4–2,1–0,,,,,,,10,30,9,7,14
1957-58,14,Valencia,1–0,2–0,1–1,1–1,2–1,3–1,4–0,4–1,3–0,2–2,2–2,1–0,2–2,,3–0,3–1,,,,,,,4,30,13,10,7
1957-58,15,Valladolid,3–0,2–2,1–2,0–4,2–2,1–1,3–1,2–0,0–4,7–3,0–1,2–1,2–0,6–3,,1–3,,,,,,,15,30,9,5,16
1957-58,16,Zaragoza,2–1,0–3,1–1,2–2,1–1,3–2,2–0,2–0,2–0,0–0,3–1,1–3,3–3,1–2,3–0,,,,,,,,14,30,8,8,14
1956-57,1,Atlético Bilbao,,1–4,1–1,1–0,3–0,2–0,4–0,3–1,3–0,1–1,4–2,2–0,5–0,3–1,4–0,5–0,,,,,,,4,30,16,5,9
1956-57,2,Atlético Madrid,0–0,,2–1,1–0,6–2,6–0,8–1,1–1,3–0,2–0,2–4,3–0,1–2,1–0,1–3,2–1,,,,,,,5,30,15,4,11
1956-57,3,Barcelona,2–0,7–3,,4–1,5–0,3–1,1–1,4–2,6–1,2–0,1–0,1–0,1–1,3–2,4–0,4–2,,,,,,,3,30,16,7,7
1956-57,4,Celta,3–0,1–0,0–2,,2–2,1–1,0–0,4–0,3–3,1–0,0–3,2–3,3–3,2–1,1–1,5–0,,,,,,,13,30,8,7,15
1956-57,5,Condal,3–3,1–2,1–1,0–3,,2–1,3–0,1–0,2–0,0–0,0–1,1–1,5–1,1–1,4–0,0–0,,,,,,,16,30,7,8,15
1956-57,6,Deportivo La Coruña,1–2,0–4,1–3,0–6,3–0,,2–1,3–1,1–2,3–1,1–2,4–0,3–1,1–0,3–0,4–1,,,,,,,15,30,10,2,18
1956-57,7,Español,3–0,0–1,2–0,2–0,2–1,2–0,,3–0,2–0,1–1,0–0,1–0,2–2,3–0,4–0,2–0,,,,,,,7,30,11,8,11
1956-57,8,Jaén,4–2,2–0,1–2,2–0,2–0,2–3,0–0,,0–0,2–0,2–4,3–0,3–1,2–2,2–0,0–1,,,,,,,14,30,9,5,16
1956-57,9,Las Palmas,4–0,1–1,1–0,1–0,3–3,2–0,2–2,2–0,,1–1,1–5,1–1,2–1,1–0,3–2,0–1,,,,,,,10,30,9,9,12
1956-57,10,Osasuna,1–2,2–1,2–2,2–1,2–1,1–0,5–0,1–1,2–1,,2–0,1–2,5–2,2–0,1–0,2–0,,,,,,,6,30,12,7,11
1956-57,11,Real Madrid,3–0,0–2,1–0,4–1,6–0,1–0,7–2,7–1,3–0,2–1,,3–0,1–1,2–0,3–1,3–3,,,,,,,1,30,20,4,6
1956-57,12,Real Sociedad,3–4,2–1,2–2,3–0,1–0,2–0,1–0,2–0,2–2,0–0,3–0,,1–1,1–2,2–3,1–1,,,,,,,12,30,9,8,13
1956-57,13,Sevilla,4–1,5–1,2–1,2–0,2–1,5–1,3–0,3–0,3–1,3–1,2–0,3–2,,3–2,2–0,3–0,,,,,,,2,30,17,5,8
1956-57,14,Valencia,1–2,2–2,3–3,3–1,1–0,3–0,3–1,3–1,2–2,4–1,1–2,3–2,2–0,,0–0,1–0,,,,,,,11,30,10,7,13
1956-57,15,Valladolid,2–0,4–3,2–1,1–1,3–0,3–2,2–2,1–2,6–2,3–0,3–3,2–2,1–2,4–0,,4–1,,,,,,,8,30,11,6,13
1956-57,16,Zaragoza,1–1,2–1,2–0,2–0,2–3,2–2,2–0,2–0,3–2,0–2,1–2,1–0,3–1,0–0,3–1,,,,,,,,9,30,11,6,13
1955-56,1,Alavés,,0–3,0–0,1–3,5–1,1–0,4–2,2–0,4–0,2–0,5–2,1–3,1–1,2–1,3–3,3–0,,,,,,,14,30,9,6,15
1955-56,2,Atlético Bilbao,3–2,,2–1,1–0,4–0,3–0,2–2,2–1,3–1,5–0,7–1,3–1,3–0,6–1,4–2,3–0,,,,,,,1,30,22,4,4
1955-56,3,Atlético Madrid,8–1,2–3,,0–2,3–2,6–1,4–1,5–0,9–0,1–1,4–0,1–0,4–5,4–1,3–1,3–1,,,,,,,5,30,14,5,11
1955-56,4,Barcelona,3–1,1–2,2–2,,2–1,4–0,4–1,1–0,6–4,4–0,1–0,2–0,2–0,3–1,4–2,2–0,,,,,,,2,30,22,3,5
1955-56,5,Celta,3–0,2–0,2–2,0–0,,3–2,4–1,2–3,2–1,3–0,1–3,3–1,2–1,3–1,2–0,3–0,,,,,,,10,30,12,3,15
1955-56,6,Cultural Leonesa,4–1,2–3,2–4,0–1,4–1,,1–2,0–1,3–1,1–2,0–1,0–4,0–0,0–4,3–0,0–0,,,,,,,15,30,5,4,21
1955-56,7,Deportivo La Coruña,5–3,2–2,3–0,0–7,5–0,4–3,,3–1,3–0,1–2,2–0,0–2,5–0,3–2,3–3,1–1,,,,,,,12,30,11,4,15
1955-56,8,Español,6–0,0–1,4–1,0–3,6–1,1–1,3–2,,2–0,2–2,1–0,2–1,3–0,2–1,0–1,4–3,,,,,,,7,30,14,3,13
1955-56,9,Hércules,1–1,0–3,0–2,2–3,0–2,3–1,5–1,1–1,,0–5,2–1,0–4,1–1,1–4,4–0,2–0,,,,,,,16,30,5,3,22
1955-56,10,Las Palmas,2–1,1–1,1–1,0–1,2–1,1–2,5–0,1–2,6–1,,2–0,1–3,2–0,2–3,2–0,3–2,,,,,,,11,30,11,4,15
1955-56,11,Murcia,3–3,2–1,1–0,0–1,2–2,3–1,5–4,2–3,3–1,2–1,,1–1,6–1,2–0,0–0,0–1,,,,,,,3,30,18,2,10
1955-56,12,Real Madrid,5–0,2–1,3–2,2–1,8–3,2–1,1–2,7–1,4–1,6–0,7–1,,2–0,3–4,1–0,5–1,,,,,,,13,30,10,5,15
1955-56,13,Real Sociedad,1–1,2–2,3–1,1–2,2–1,2–1,3–1,5–0,2–0,4–2,3–3,1–0,,2–2,3–1,4–1,,,,,,,8,30,11,8,11
1955-56,14,Sevilla,3–0,1–2,4–0,0–0,7–0,3–1,5–0,4–0,3–0,3–0,4–1,2–0,2–0,,4–0,4–1,,,,,,,4,30,17,2,11
1955-56,15,Valencia,3–1,1–0,0–1,4–2,6–0,1–1,4–0,2–1,4–1,4–2,4–1,2–1,1–1,3–0,,5–1,,,,,,,6,30,13,6,11
1955-56,16,Valladolid,4–0,2–4,3–1,1–0,4–2,3–0,4–1,2–0,3–0,4–1,3–0,2–2,1–0,3–1,1–1,,,,,,,,9,30,13,4,13
1954-55,1,Alavés,,2–2,2–0,2–2,2–0,2–1,2–2,2–0,4–1,5–1,2–4,2–1,0–1,2–1,7–0,1–4,,,,,,,10,30,11,5,14
1954-55,2,Atlético Bilbao,4–0,,1–1,1–1,2–2,5–1,1–2,3–0,9–2,6–1,2–0,3–0,1–0,2–2,7–0,1–0,,,,,,,3,30,15,9,6
1954-55,3,Atlético Madrid,4–1,1–2,,2–2,4–0,2–1,2–1,3–0,2–2,2–2,2–4,3–1,4–0,0–3,2–3,5–4,,,,,,,8,30,11,7,12
1954-55,4,Barcelona,5–2,2–3,4–0,,5–2,3–1,1–0,1–1,1–0,5–0,2–2,7–0,4–1,4–2,4–1,5–0,,,,,,,2,30,17,7,6
1954-55,5,Celta,2–0,1–0,8–1,1–1,,2–0,1–1,1–1,5–1,3–0,1–1,2–1,5–1,5–1,2–1,2–2,,,,,,,11,30,10,7,13
1954-55,6,Deportivo La Coruña,3–0,1–1,1–0,2–2,4–2,,1–1,2–1,4–1,3–2,3–3,3–1,2–1,4–2,2–1,2–1,,,,,,,7,30,12,6,12
1954-55,7,Español,4–1,1–3,2–0,2–4,4–0,2–2,,4–1,0–0,1–1,1–3,1–0,1–0,2–0,1–1,1–1,,,,,,,13,30,8,10,12
1954-55,8,Hércules,2–2,3–2,4–0,1–0,2–1,4–2,0–0,,4–0,1–0,1–1,2–0,4–1,1–1,3–2,2–1,,,,,,,6,30,11,9,10
1954-55,9,Las Palmas,2–2,3–3,4–1,2–0,3–1,2–1,2–1,1–1,,2–1,1–1,5–1,2–2,4–0,1–0,2–0,,,,,,,12,30,10,7,13
1954-55,10,Málaga,2–1,1–3,0–3,1–2,0–0,0–1,1–1,3–3,2–0,,3–1,3–1,2–1,0–2,1–1,1–2,,,,,,,16,30,6,7,17
1954-55,11,Real Madrid,4–1,3–1,1–0,3–0,5–1,5–1,5–1,3–0,7–0,4–1,,3–0,1–1,3–1,1–2,1–0,,,,,,,1,30,20,6,4
1954-55,12,Real Santander,0–2,1–4,2–4,2–1,3–1,2–1,3–1,1–1,2–1,2–1,0–4,,3–3,3–1,3–2,2–1,,,,,,,15,30,9,2,19
1954-55,13,Real Sociedad,2–0,3–3,0–2,0–2,5–0,3–0,1–0,4–0,4–0,1–1,1–3,3–0,,1–2,3–0,3–3,,,,,,,14,30,9,6,15
1954-55,14,Sevilla,1–2,1–1,3–3,0–2,5–2,3–2,3–2,6–1,4–0,6–1,1–0,5–2,5–2,,2–1,5–1,,,,,,,4,30,15,4,11
1954-55,15,Valencia,6–1,3–2,4–4,4–1,2–1,4–0,2–0,8–2,4–0,0–2,1–3,8–1,2–0,3–1,,2–1,,,,,,,5,30,15,3,12
1954-55,16,Valladolid,1–0,1–0,2–2,1–2,2–1,1–1,4–2,2–0,2–1,3–2,0–1,3–1,1–0,2–5,2–3,,,,,,,,9,30,11,5,14
1953-54,1,Atlético Bilbao,,1–1,2–1,5–1,3–0,0–0,0–0,4–0,0–1,3–1,2–3,5–1,1–3,2–2,1–2,2–1,,,,,,,6,30,12,8,10
1953-54,2,Atlético Madrid,2–5,,1–0,5–0,3–1,2–2,6–1,1–0,4–1,4–1,3–4,4–1,1–1,2–1,3–0,1–2,,,,,,,11,30,11,7,12
1953-54,3,Barcelona,2–0,1–1,,4–2,6–1,1–4,6–2,9–0,1–0,3–1,5–1,6–0,6–0,4–1,2–0,4–1,,,,,,,2,30,16,4,10
1953-54,4,Celta,4–2,1–0,0–0,,3–1,1–0,0–0,2–1,5–2,5–2,1–0,1–2,0–1,2–0,3–4,2–1,,,,,,,10,30,12,5,13
1953-54,5,Deportivo La Coruña,2–0,1–0,1–0,0–0,,1–0,6–0,2–1,1–0,2–1,2–2,4–2,3–0,0–1,1–1,1–1,,,,,,,7,30,13,5,12
1953-54,6,Español,0–0,3–1,0–1,4–0,2–0,,1–2,4–0,1–0,3–0,2–1,0–0,1–1,3–2,2–1,4–1,,,,,,,4,30,14,6,10
1953-54,7,Jaén,1–3,1–0,2–2,3–2,3–0,4–0,,2–2,5–3,6–1,1–2,4–2,1–1,3–1,3–1,4–2,,,,,,,14,30,11,6,13
1953-54,8,Oviedo,0–1,0–0,3–0,0–1,0–1,1–1,2–2,,3–0,1–0,0–4,2–1,1–3,3–1,2–1,3–1,,,,,,,13,30,12,4,14
1953-54,9,Osasuna,3–2,3–1,1–0,2–2,3–2,2–3,2–0,1–2,,3–2,1–1,2–1,2–1,1–0,2–2,4–0,,,,,,,15,30,8,6,16
1953-54,10,Real Gijón,1–2,4–2,0–1,1–0,2–3,0–1,2–1,0–0,3–4,,1–1,3–5,0–1,3–1,5–2,3–1,,,,,,,16,30,7,2,21
1953-54,11,Real Madrid,2–3,2–1,5–0,3–0,2–1,4–3,6–0,1–0,2–0,4–0,,4–2,1–1,1–0,4–0,1–2,,,,,,,1,30,17,6,7
1953-54,12,Real Santander,1–1,2–2,4–3,1–0,0–0,2–1,3–1,1–1,3–0,3–1,1–1,,4–2,2–1,3–1,1–3,,,,,,,8,30,12,7,11
1953-54,13,Real Sociedad,1–1,1–1,0–3,4–4,4–1,2–0,2–1,1–0,2–0,1–2,3–6,1–2,,3–2,0–3,1–0,,,,,,,9,30,11,7,12
1953-54,14,Sevilla,3–1,2–1,3–1,1–0,1–2,3–1,5–2,2–1,2–1,6–3,2–1,2–1,5–0,,1–1,3–1,,,,,,,5,30,15,2,13
1953-54,15,Valencia,3–0,4–1,1–0,5–2,2–0,4–2,4–0,3–0,1–1,8–0,0–0,4–1,4–3,2–3,,3–3,,,,,,,3,30,14,6,10
1953-54,16,Valladolid,2–2,1–3,2–2,0–3,2–1,0–2,3–0,3–2,2–1,4–1,4–3,1–1,2–0,1–0,3–2,,,,,,,,12,30,12,5,13
